s.area	m.eccentricity	s.radius.sd	h.sva.s2	h.idm.s1	h.sen.s1	m.majoraxis
40	0.801024057129569	0.960383510729562	178.541032905622	0.421387631975867	0.88007326695852	9.68145874812366
326	0.749227367836737	4.09398172157604	349.450008670433	0.348035422007638	1.20151821332947	34.7674380652732
198	0.957580894194564	4.61048603664787	271.900335780272	0.36228272812713	1.10661281887731	39.3011666027972
143	0.872584431636638	2.33394559464048	329.073621436093	0.352760882768329	1.15315758959814	21.1213798531453
257	0.917575350375071	4.49203210843692	456.852419011433	0.339260891073292	1.31244000323552	35.4483589522547
56	0.64538978624402	0.612799949374911	335.920168770944	0.345394009194914	1.08951440821678	9.77233936346558
209	0.901169415047404	3.46119158607949	266.630241845971	0.39476667746872	1.06275433119842	33.49172547193
33	0.419193107448918	0.482204859411118	200.830261906512	0.387237669590611	0.928561421468693	6.9838286747219
38	0.800108196975767	0.737940409383853	248.981416376727	0.369383637030696	0.852528194549401	9.03087704828093
206	0.944863211714141	4.34902927059098	284.216283200154	0.35288323823738	1.13209476348282	37.6827594344786
36	0.831693800424282	1.08576156675441	138.503217561473	0.406583266790879	0.789231946724005	9.9213143947318
50	0.216425896655666	0.317691135998749	306.975447438402	0.32327455660789	1.1462730844954	8.10041664464218
44	0.929615990665327	1.6318280847569	180.360484399928	0.487641866330391	0.74008863349355	14.1958764314306
126	0.962444484862983	3.79657296976957	260.915896833013	0.37052097346215	1.10853553154239	29.5407395161298
43	0.681872800893387	0.784856407869865	202.523680694705	0.390091040245839	0.960223478160076	8.99407068452151
40	0.950394695788054	1.74592058703476	153.840934044972	0.493420569891158	0.797458498228951	14.3135622159748
312	0.917310135259923	4.92532106327158	313.315358344786	0.348289010406657	1.15559557096172	42.7430789785335
43	0.670612274790412	0.509504778855003	267.704838750917	0.342093317698854	1.06331401853887	8.63683876983879
137	0.754881709876278	1.72275384408021	453.715973453555	0.33381021976563	1.28305524409713	17.5793316188832
33	0.93188562959335	1.22296775912807	169.578327833927	0.419437340153453	0.639825636834974	11.1516486022649
35	0.84677996030686	0.875850361609648	187.071613860817	0.415399666983377	0.891941715784357	9.31332074873782
119	0.902895819664803	2.12708936059034	346.823032638447	0.33553965628269	1.17725581829215	19.8227552976282
57	0.843673215428366	1.26206574225568	217.117482114228	0.361554495672143	1.01189678869629	12.240854874411
469	0.973730674061257	9.8043809960409	314.213988399028	0.353774924452966	1.19334909109279	77.9682507615117
472	0.966808091191312	7.53696719304622	458.216445806604	0.347959030368827	1.30537860689835	64.1331531078397
158	0.976203926861352	4.16101978699824	267.282276822617	0.366134931311402	1.08209602577878	33.6759569824251
135	0.965768053129039	3.67279975715235	251.771938164995	0.381578107624619	1.05418674232674	30.85476147602
33	0.737451178438305	0.659668205521226	175.106200081662	0.418928153381935	0.903545340940292	8.13565575162888
108	0.921149840037331	2.28130982616556	301.787273301138	0.356226769630014	1.12679199129316	20.5984103285791
36	0.594495574170874	0.396269033492784	237.514375888784	0.353262887444128	0.95002082008503	7.54773032843398
1006	0.956853426253607	14.6890071766858	322.085661487828	0.351453638397938	1.19174742912902	123.37764838215
43	0.797009698839746	0.729818732487615	214.882438657202	0.377458182164064	0.996263232672854	9.62665012169244
34	0.870409770060018	1.2564522554133	129.018774302603	0.551674208144796	0.625139668534611	10.7042144793777
141	0.792423533326396	2.51958621735576	342.407367605776	0.363329797187966	1.15194778803092	20.7770081583519
108	0.858091578789166	1.6026168384101	439.126960312408	0.346473170002582	1.21661006616611	16.7924493774533
100	0.921867308917778	2.65406880708444	206.593484369972	0.371227232403703	0.958151047455294	23.8883693000579
50	0.900675795604393	1.46590265958023	219.936500004426	0.451254642353714	0.944823616654879	12.8069700117227
66	0.857552028434796	1.28344111495968	260.76751149369	0.372093940263264	1.04647157938928	13.4199855152433
71	0.75052041472599	1.58582998247033	234.179243110697	0.382684457724203	1.02750019444553	13.6907196232244
219	0.92609506746779	3.40058904825622	418.852884904347	0.327569977722309	1.29742537926704	30.0515805714244
183	0.943984745151441	3.84521365492312	250.512783767045	0.381567911818586	1.05032991354986	34.6251151856075
110	0.534240985159162	1.15113903938392	408.65639507652	0.328714293040669	1.24578082699942	13.7523543119551
38	0.720470883763238	0.606764013005814	261.960191445267	0.360914760914761	0.955890782066133	8.41709838808359
31	0.747070216502548	0.497751301211059	201.345073076121	0.378013862643844	0.93242054137422	7.69796877263227
79	0.870456704930158	1.44110533173407	314.584912540618	0.355680754869396	1.1785441856641	14.7005498256022
42	0.973564169698118	1.88550294609887	165.922827472587	0.453144016227181	0.608184686290324	15.9526448425081
55	0.865842236351132	1.5059999868102	188.269197152801	0.455809125536529	0.892017188974883	13.5912343348696
585	0.869519090585713	9.0288414110463	280.892537531917	0.359154613500081	1.1302378325836	69.1168662279572
115	0.842306683802348	2.16925288162731	386.489645774212	0.353302761953281	1.15580115489699	19.8624212238521
181	0.826816857545104	3.05132933827399	294.64453645946	0.35480829619867	1.14328260966872	25.2789363308339
36	0.961964424897516	1.66407515898101	168.489144114897	0.547178871548619	0.609224537052496	14.1867785329767
162	0.97025901151062	4.27039558072586	217.662632103021	0.378597328400478	1.01068828490821	35.0220302957531
58	0.922461142162192	1.62476651773343	245.995255596853	0.356856392800095	1.06663017431943	14.4902181845122
123	0.900956966409449	2.66136152834943	281.274736097576	0.391011251070074	1.09194347179775	22.2005619065201
47	0.753571786156621	1.1703373842481	174.825419724375	0.459043309631545	0.82088999782274	10.8368256487732
33	0.942377041182067	1.35057135900176	217.225149124328	0.431713554987212	0.610360945037812	11.6207364525505
73	0.826538724602801	1.34040802243674	274.162938470708	0.337806699052374	1.09012057179928	13.471371857031
614	0.952098091953701	9.63238617515879	314.67744308044	0.335573269595527	1.19837278859744	74.3645588872137
32	0.750884590783841	0.806073592090088	187.348545448541	0.406468444798616	0.85718806788681	8.23880507898991
45	0.907707885856045	1.33131678727853	166.295570119974	0.371131855837738	0.875633909635529	12.3024859063575
37	0.663727891285241	0.503538376774419	228.837377255496	0.362257637489836	1.00368047784028	7.98704660964568
60	0.925482983217365	1.78037096357993	177.321020557112	0.395335310089408	0.903122270269875	15.3562365729639
101	0.927713599424654	2.7410339906958	189.150505344238	0.434130778848083	0.921398614949961	24.3312228626506
33	0.757309442373793	0.757957506374107	176.024112974291	0.499169608671871	0.771864384161246	8.50439167901325
36	0.707106781187625	0.465121541188018	242.909866418632	0.357731805426559	0.972363442628805	8.02772971918585
56	0.942659206898242	2.08300182351986	157.711221897799	0.4566337076141	0.815675571632951	17.314816038668
102	0.969677087453102	3.33367341742477	170.125300983812	0.397128373447159	0.866694811033425	28.2889745946272
195	0.990269774200671	6.18414431992695	203.78684897458	0.381561273965614	0.937824895596277	49.7632863521416
155	0.715340490361221	1.87932091409842	295.000059420277	0.374638419881986	1.11696404850701	19.1917598180867
118	0.894433129009374	1.83319259853269	432.261614145795	0.342421033401425	1.18940094620458	18.5363394115878
251	0.684559418607044	3.74402977199941	244.324746983319	0.368597766925477	1.0490016543608	29.2389454258651
570	0.921162113908754	9.19181073387309	237.529504978111	0.396652855782957	1.04667502695104	66.7970774356334
97	0.876333500394279	1.89771580461095	319.729111821425	0.355897734670113	1.17015342510877	17.3804535759107
93	0.878162134593193	1.97461377172613	263.469766732144	0.386328996378847	0.976836876729343	17.9471371334674
34	0.467859694848171	0.267916010361099	256.667432017706	0.382378448260801	0.967740896441445	6.96406992327027
43	0.644188037949392	0.863732833352435	198.615961193178	0.384814789574556	0.931534965369671	9.05422014036197
110	0.723851881163122	1.79573487950556	307.368817358005	0.367135303162678	1.13097580527038	16.2948453688585
32	0.577474234245684	0.389924828954745	226.434255601181	0.388538129957172	0.957713839693026	7.09101149322015
65	0.881064593249307	1.38936297539668	302.486074948986	0.32863828275593	1.07567149144565	13.5523636854751
488	0.946351265344332	7.2196560168838	310.854065107321	0.361591171477842	1.1849668884578	63.5911254472456
502	0.953725094033062	8.89741674548448	289.784859149877	0.373551664578584	1.14376687076815	73.9625896532957
138	0.867338220368295	2.96029734194027	280.276682947981	0.372396115410821	1.08927297618566	23.8379901214173
124	0.826254658956993	2.21785374673323	341.188111147412	0.345588470475349	1.20346009488241	19.4424874096274
61	0.978470194954456	2.50697582938522	144.554128406938	0.492674854557207	0.705721508401187	21.2447790323629
41	0.920880158597077	1.44348620887327	181.001347872872	0.460966042280921	0.833805787050973	12.4871313263428
48	0.544756450255571	0.450296162370398	299.176753313473	0.345240133475428	1.074749296545	8.63030768375145
92	0.941889057284598	2.42120728268898	230.904737542	0.385859162329751	1.00405657035854	20.4194624107623
206	0.967555565093499	4.28492407763162	318.294412319225	0.328769763810696	1.20050638003915	37.0295619102875
36	0.801559657076365	1.17197855246814	180.08093329344	0.483075094839801	0.795250418912023	10.1023489385336
335	0.969145359969531	5.71272118535562	409.296696416873	0.333176666598431	1.28087028269384	49.8230812876696
65	0.577728997297119	0.849534539450734	307.994204825455	0.372663859722683	1.11493513051966	10.6520685024932
101	0.79014337967677	1.2597101512884	412.681366364849	0.310592672015381	1.27622470796637	14.9550676445452
185	0.900704033794955	3.77697706007754	252.717103462496	0.368448893317851	1.06089608388299	33.0524700259916
191	0.94363951960348	4.34392999704228	218.776307217891	0.401435518563546	1.00133928488817	34.0897486440187
46	0.66608709920311	0.655632389266326	256.54983285363	0.375506066216006	1.03260109006621	9.10098326620809
35	0.903036403773746	1.21241016344952	144.455989014796	0.46580739521916	0.748598150801128	10.8772634133518
32	0.599654069902018	0.424912521366722	179.10548159768	0.404118258530023	0.926032910158142	7.18112147524418
71	0.896468601899009	1.7505518162665	325.183383278173	0.350067746698998	1.07725151402314	15.5405314918159
72	0.934486214452534	2.00357712176715	241.718229507687	0.394025442890012	1.00198414208666	17.8649510971962
44	0.843916799192833	1.03857595739549	195.662255513743	0.407466702198923	0.942580557616212	10.5193467388178
127	0.839093098312455	2.38193518467135	356.455477609383	0.344553973385788	1.21051658088618	19.9030763156321
37	0.428981494994898	0.27577353106754	267.191401850832	0.341272391809476	1.04661399065536	7.21390166080885
105	0.958970702445981	3.09962649080105	282.003545412024	0.361967294504608	1.10045147191719	25.7190926148021
66	0.909446054412545	1.62920758422706	270.918331662022	0.388068042185689	0.973809712265278	15.0422238348079
95	0.960360654688713	2.9364760673789	222.878106280707	0.396704696665741	1.01442921818075	24.5938692747281
165	0.922479089663631	3.60795678679609	244.666438889481	0.397321272495749	1.04775813917846	30.8268421030941
